Features,Training error,Training RMSE,Validation error,Validation RMSE,Test error,Test RMSE
RPDE Jitter(Abs) NHR ,203277.425533968,10.6894805617025,96411.9854235774,9.35351217669298,193364.053451885,13.0986311473465
RPDE Jitter(Abs) ,204233.840485689,10.7145979149882,97556.5353415555,9.40886824120515,,
RPDE Jitter(Abs) NHR Jitter:RAP Jitter:DDP ,200139.643045939,10.606658504692,110048.407412707,9.99311956640758,,
Jitter(%) Jitter(Abs) Jitter:RAP Jitter:PPQ5 Jitter:DDP Shimmer Shimmer(dB) Shimmer:APQ3 Shimmer:APQ5 Shimmer:APQ11 Shimmer:DDA NHR HNR RPDE DFA PPE ,160811.296625135,9.50758688276942,248188.6478359,15.0072168917076,,
